id,rating_area_id,county_id,zip_code_id
300770,OR04,41017,97739
256316,OR04,41017,97756
272097,OR04,41017,97759
272099,OR04,41017,97760
256320,OR04,41035,97601
1066,OR04,41035,97602
256317,OR04,41035,97603
266311,OR04,41035,97604
290933,OR04,41035,97621
270758,OR04,41035,97622
276329,OR04,41035,97623
256318,OR04,41035,97624
269723,OR04,41035,97625
296044,OR04,41035,97626
269724,OR04,41035,97627
282735,OR04,41035,97632
276332,OR04,41035,97633
264701,OR04,41035,97634
276336,OR04,41035,97639
278047,OR04,41035,97731
295427,OR04,41035,97733
276335,OR04,41035,97737
300771,OR04,41035,97739
266726,OR04,41037,97620
300773,OR04,41037,97630
297197,OR04,41037,97635
290711,OR04,41037,97636
295430,OR04,41037,97637
283732,OR04,41037,97638
303284,OR04,41037,97640
258885,OR04,41037,97641
284548,OR04,41037,97735
306921,OR04,41037,97739
306922,OR04,41037,97758
256973,OR05,41007,97102
263687,OR05,41007,97103
256294,OR05,41007,97110
289080,OR05,41007,97121
295396,OR05,41007,97138
291878,OR05,41007,97145
300744,OR05,41007,97146
290710,OR05,41007,97016
1064,OR05,41007,97131
282721,OR05,41009,97016
295421,OR05,41009,97018
300764,OR05,41009,97048
276323,OR05,41009,97051
265090,OR05,41009,97053
261315,OR05,41009,97054
263707,OR05,41009,97056
272094,OR05,41009,97064
277292,OR05,41009,97231
291235,OR05,41011,97407
276300,OR05,41011,97411
289758,OR05,41011,97414
276301,OR05,41011,97420
272083,OR05,41011,97423
295413,OR05,41011,97449
272084,OR05,41011,97458
272080,OR05,41011,97459
296039,OR05,41011,97466
284437,OR05,41015,97406
276306,OR05,41015,97415
300756,OR05,41015,97444
261901,OR05,41015,97450
285894,OR05,41015,97464
282706,OR05,41015,97465
277296,OR05,41015,97476
258717,OR05,41015,97491
289091,OR05,41041,97341
269722,OR05,41041,97343
282712,OR05,41041,97357
283398,OR05,41041,97364
289092,OR05,41041,97365
256302,OR05,41041,97366
295415,OR05,41041,97367
264371,OR05,41041,97368
258326,OR05,41041,97369
276317,OR05,41041,97376
290496,OR05,41041,97380
270820,OR05,41041,97388
256309,OR05,41041,97390
289096,OR05,41041,97391
296040,OR05,41041,97394
300753,OR05,41041,97498
284438,OR05,41041,97324
283396,OR05,41041,97326
263689,OR05,41057,97107
272079,OR05,41057,97108
256291,OR05,41057,97112
277295,OR05,41057,97118
270468,OR05,41057,97122
270087,OR05,41057,97130
263690,OR05,41057,97131
270309,OR05,41057,97134
256295,OR05,41057,97135
300751,OR05,41057,97136
282697,OR05,41057,97141
298084,OR05,41057,97143
290105,OR05,41057,97147
256972,OR05,41057,97149
264927,OR05,41057,97368
256319,OR06,41001,97814
265485,OR06,41001,97819
272100,OR06,41001,97833
272102,OR06,41001,97834
265627,OR06,41001,97837
278553,OR06,41001,97840
276334,OR06,41001,97870
277301,OR06,41001,97877
303097,OR06,41001,97884
291284,OR06,41001,97905
270676,OR06,41001,97907
297492,OR06,41001,97867
290610,OR06,41013,97751
284439,OR06,41013,97752
276333,OR06,41013,97753
295425,OR06,41013,97754
94105,OR06,41013,97701
94218,OR06,41013,97756
277796,OR06,41013,97760
256978,OR06,41021,97812
276331,OR06,41021,97823
261808,OR06,41021,97861
297458,OR06,41021,97843
256979,OR06,41023,97817
295428,OR06,41023,97820
258230,OR06,41023,97825
300772,OR06,41023,97845
264374,OR06,41023,97848
289108,OR06,41023,97856
303738,OR06,41023,97864
282732,OR06,41023,97865
264700,OR06,41023,97869
270469,OR06,41023,97873
306920,OR06,41023,97720
291356,OR06,41023,97877
303788,OR06,41025,97710
276326,OR06,41025,97720
282738,OR06,41025,97721
289101,OR06,41025,97722
284547,OR06,41025,97732
270589,OR06,41025,97736
290108,OR06,41025,97738
282739,OR06,41025,97758
262041,OR06,41025,97904
306722,OR06,41025,97911
282726,OR06,41027,97014
289098,OR06,41027,97031
295420,OR06,41027,97041
284951,OR06,41027,97044
270677,OR06,41031,97711
261807,OR06,41031,97730
289104,OR06,41031,97734
282731,OR06,41031,97741
256325,OR06,41031,97760
260578,OR06,41031,97761
291117,OR06,41031,97759
290341,OR06,41045,97901
297836,OR06,41045,97902
261809,OR06,41045,97903
276976,OR06,41045,97906
296045,OR06,41045,97908
284440,OR06,41045,97909
300774,OR06,41045,97910
297322,OR06,41045,97911
289106,OR06,41045,97913
282730,OR06,41045,97914
258327,OR06,41045,97917
256326,OR06,41045,97918
284299,OR06,41045,97920
306884,OR06,41045,89421
307372,OR06,41045,97721
291465,OR06,41045,97907
296042,OR06,41049,97818
256322,OR06,41049,97836
277522,OR06,41049,97839
296043,OR06,41049,97843
272096,OR06,41049,97844
284838,OR06,41049,97838
282725,OR06,41055,97029
303585,OR06,41055,97033
290107,OR06,41055,97039
271063,OR06,41055,97050
296041,OR06,41055,97065
295426,OR06,41059,97801
263710,OR06,41059,97810
282727,OR06,41059,97813
283731,OR06,41059,97826
264373,OR06,41059,97835
263709,OR06,41059,97838
271064,OR06,41059,97859
263713,OR06,41059,97862
263712,OR06,41059,97868
289105,OR06,41059,97875
260229,OR06,41059,97880
282733,OR06,41059,97882
256981,OR06,41059,97886
52218,OR06,41059,99362
289107,OR06,41061,97824
276975,OR06,41061,97827
265091,OR06,41061,97841
256324,OR06,41061,97850
290340,OR06,41061,97867
289762,OR06,41061,97876
282737,OR06,41061,97883
297780,OR06,41061,97814
306993,OR06,41061,97859
256321,OR06,41063,97828
303095,OR06,41063,97842
272101,OR06,41063,97846
283401,OR06,41063,97857
282734,OR06,41063,97885
284492,OR06,41065,97001
295417,OR06,41065,97021
256312,OR06,41065,97037
272092,OR06,41065,97040
272685,OR06,41065,97057
256315,OR06,41065,97058
290339,OR06,41065,97063
51353,OR06,41065,97741
265218,OR06,41069,97750
289103,OR06,41069,97830
264702,OR06,41069,97874
306923,OR06,41069,97825
51402,OR06,41069,97848
296619,OR07,41019,97410
295412,OR07,41019,97416
300755,OR07,41019,97417
282708,OR07,41019,97429
270311,OR07,41019,97432
282710,OR07,41019,97435
256975,OR07,41019,97436
297361,OR07,41019,97441
263696,OR07,41019,97442
276309,OR07,41019,97443
296412,OR07,41019,97447
263695,OR07,41019,97457
289084,OR07,41019,97462
272085,OR07,41019,97467
263693,OR07,41019,97469
295403,OR07,41019,97470
295408,OR07,41019,97471
256974,OR07,41019,97473
295404,OR07,41019,97479
270312,OR07,41019,97481
277977,OR07,41019,97484
276302,OR07,41019,97486
260338,OR07,41019,97494
256297,OR07,41019,97495
295405,OR07,41019,97496
276305,OR07,41019,97499
276308,OR07,41019,97424
94217,OR07,41019,97731
272081,OR07,41029,97501
289087,OR07,41029,97502
263697,OR07,41029,97503
289086,OR07,41029,97504
289082,OR07,41029,97520
284672,OR07,41029,97522
276304,OR07,41029,97524
282709,OR07,41029,97525
282729,OR07,41029,97530
295429,OR07,41029,97535
272103,OR07,41029,97536
276328,OR07,41029,97537
269726,OR07,41029,97539
263711,OR07,41029,97540
283400,OR07,41029,97541
270090,OR07,41029,97526
290109,OR07,41029,97527
282711,OR07,41033,97497
289085,OR07,41033,97523
295410,OR07,41033,97526
282728,OR07,41033,97527
272098,OR07,41033,97528
284587,OR07,41033,97531
289761,OR07,41033,97532
290342,OR07,41033,97533
290497,OR07,41033,97534
269725,OR07,41033,97538
256980,OR07,41033,97543
282736,OR07,41033,97544
